Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,94",pujada,"+0,00%","0,00","29.255,84","45,73","0,00","0,00%",17/11
ABENGOA,"0,03",baixada,"-2,94%","-0,00","253.701,90","55,50","0,00","0,00%",17/11
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","272.512,03","206,44","0,00","0,00%",17/11
ABERTIS,"18,41",baixada,"-0,16%","-0,03","51.609.530,19","18.272,54","19,28","4,16%",17/11
ACCIONA,"68,13",pujada,"+1,79%","1,20","20.890.205,02","3.898,23","14,98","4,52%",17/11
ACERINOX,"11,26",baixada,"-0,79%","-0,09","11.813.287,64","3.118,18","15,46","3,91%",17/11
ACS,"32,77",baixada,"-1,18%","-0,39","17.627.828,62","10.319,43","13,44","3,62%",17/11
ADVEO,"2,62",pujada,"+0,77%","0,02","93.033,72","55,70","15,99","0,00%",17/11
AENA,"160,30",baixada,"-0,34%","-0,55","28.190.913,65","24.060,00","19,93","2,55%",17/11
AIRBUS,"85,00",baixada,"-0,47%","-0,40","219.787,95","65.907,18","25,52","1,71%",17/11
ALANTRA,"13,20",pujada,"+0,62%","0,08","93.388,21","470,86","11,54","7,61%",17/11
ALBA,"49,88",pujada,"+0,28%","0,14","413.967,46","2.912,67","6,91","2,07%",17/11
ALMIRALL,"8,12",baixada,"-1,22%","-0,10","5.055.738,68","1.413,01","0,00","2,38%",17/11
AMADEUS,"60,40",baixada,"-0,85%","-0,52","67.405.043,57","26.504,88","25,35","1,77%",17/11
AMPER,"0,19",pujada,"+2,13%","0,00","277.428,41","158,21","0,00","0,00%",17/11
APPLUS SERVICES,"10,71",pujada,"+0,23%","0,03","1.957.742,79","1.670,20","17,76","1,13%",17/11
ARCELORMITTAL,"23,67",baixada,"-0,27%","-0,07","9.742.832,57","24.224,23","0,00","0,00%",17/11
AXIA REAL ESTATE,"18,30",baixada,"-0,08%","-0,02","13.265.556,56","1.448,42","51,93","1,69%",17/11
AZKOYEN,"8,09",pujada,"+0,87%","0,07","73.722,27","203,76","17,34","0,00%",17/11
Atresmedia,"8,41",pujada,"+0,60%","0,05","2.929.378,64","1.892,97","12,58","6,60%",17/11
BANKIA,"3,90",baixada,"-0,86%","-0,03","16.487.101,46","11.235,15","13,54","3,24%",17/11
BANKINTER,"7,81",pujada,"+0,84%","0,07","21.128.825,93","7.021,94","14,50","3,38%",17/11
BARON DE LEY,"111,95",pujada,"+0,04%","0,05","110.765,45","461,83","21,21","0,00%",17/11
BBVA,"7,19",baixada,"-0,83%","-0,06","133.487.430,70","48.108,80","11,26","3,64%",17/11
BIOSEARCH,"0,48",pujada,"+1,06%","0,01","1.510,05","27,41","0,00","0,00%",17/11
BME,"28,235",baixada,"-1,17%","-0,335","2.956.137,25","2.383,04","15,10","6,37%",17/11
CAIXABANK,"3,94",baixada,"-1,45%","-0,06","57.409.071,97","23.632,66","12,50","3,71%",17/11
CELLNEX TELECOM,"20,32",baixada,"-0,27%","-0,06","12.972.635,22","4.714,75","68,88","0,48%",17/11
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"24,46",pujada,"+1,68%","0,41","5.937.454,39","3.161,15","14,92","2,01%",17/11
CLINICA BAVIERA,"8,33",pujada,"+0,00%","0,00","833,00","132,42","23,00","2,38%",17/11
COCA-COLA EUR,"32,39",baixada,"-0,89%","-0,29","264.148,79","15.685,51","16,02","2,46%",17/11
CODERE,"7,63",pujada,"+1,33%","0,10","329.844,07","898,52","0,00","0,00%",17/11
COEMAC,"0,37",baixada,"-3,90%","-0,02","113.806,50","73,07","59,43","0,00%",17/11
DEOLEO SA,"0,18",pujada,"+0,00%","0,00","54.315,03","207,84","15,22","0,00%",17/11
DIA,"4,09",baixada,"-0,05%","-0,00","17.065.417,15","2.551,45","10,70","4,92%",17/11
DOGI INTL FABRICS,"3,40",baixada,"-0,53%","-0,02","34.895,01","244,82","0,00","0,00%",17/11
DURO FELGUERA,"0,47",baixada,"-2,08%","-0,01","71.387,60","76,80","51,00","0,00%",17/11
EBRO FOODS,"19,95",baixada,"-0,50%","-0,10","1.065.055,07","3.077,31","17,47","3,07%",17/11
EDREAMS ODIGEO REG,"3,31",pujada,"+0,30%","0,01","611.672,85","360,17","11,67","0,00%",17/11
ELECNOR,"12,86",baixada,"-0,31%","-0,04","89.619,14","1.117,08","12,02","2,19%",17/11
ENAGAS,"23,63",baixada,"-1,30%","-0,31","22.105.286,72","5.661,58","12,41","6,04%",17/11
ENCE,"5,370",pujada,"+0,85%","0,045","2.758.193,03","1.327,41","15,39","2,97%",17/11
ENDESA,"18,66",baixada,"-0,90%","-0,17","34.459.631,89","19.650,44","14,86","7,00%",17/11
ERCROS,"2,65",baixada,"-3,04%","-0,08","882.076,70","294,43","7,02","0,00%",17/11
EUROPAC,"9,10",baixada,"-1,14%","-0,11","1.664.321,70","872,15","12,18","3,32%",17/11
EUSKALTEL,"6,49",baixada,"-0,70%","-0,05","1.599.713,59","1.161,19","17,92","5,06%",17/11
FAES FARMA,"2,840",baixada,"-0,35%","-0,010","527.815,18","726,65","17,84","2,10%",17/11
FCC,"9,01",baixada,"-0,18%","-0,02","521.506,68","3.440,11","17,27","0,00%",17/11
FERROCARRILES,"34,23",baixada,"-3,03%","-1,07","2.015.365,84","1.171,03","29,59","1,62%",17/11
FERSA ENERGIAS,"0,49",baixada,"-1,02%","-0,01","35.329,61","67,20","91,57","0,00%",17/11
FLUIDRA,"11,10",baixada,"-0,94%","-0,11","786.181,15","1.250,18","28,21","1,36%",17/11
GAM,"1,62",baixada,"-1,22%","-0,02","22.161,96","54,93","0,00","0,00%",17/11
GAS NATURAL,"17,96",baixada,"-0,75%","-0,14","31.565.594,77","17.962,37","14,67","5,50%",17/11
GLOBAL DOMINION,"4,29",baixada,"-2,50%","-0,11","1.270.286,30","726,29","26,76","0,00%",17/11
GR.EMPRES.SAN JOSE,"3,07",baixada,"-2,54%","-0,08","212.977,81","201,58","0,00","0,00%",17/11
GRIFOLS,"25,19",baixada,"-0,32%","-0,08","26.775.126,82","10.791,74","25,48","1,39%",17/11
GRIFOLS CL.B,"19,53",pujada,"+0,64%","0,13","1.623.444,36","5.088,64","0,00","0,00%",17/11
GRUPO CATALANA OCC,"34,72",pujada,"+1,37%","0,47","2.772.795,92","4.166,40","12,63","2,18%",17/11
GRUPO EZENTIS SA,"0,52",baixada,"-0,38%","-0,00","231.965,15","152,76","18,26","0,00%",17/11
GRUPO FERROVIAL,"30,83",baixada,"0,00%","0,00","0,00","4.324,36","0,00","0,00%",4/12
GRUPO PRISA,"2,52",baixada,"-2,55%","-0,07","242.447,39","198,50","5,48","0,00%",17/11
HISPANIA ACTIVOS,"15,20",pujada,"+0,13%","0,02","1.943.742,46","1.661,56","20,24","3,49%",17/11
IAG (IBERIA),"6,71",baixada,"-0,36%","-0,02","25.158.476,57","14.323,02","6,69","4,00%",17/11
IBERDROLA,"6,47",baixada,"-1,13%","-0,07","104.119.780,00","40.918,54","15,27","4,93%",17/11
IBERPAPEL GESTION,"29,07",pujada,"+0,56%","0,16","315.369,67","318,52","15,19","2,33%",17/11
INDITEX,"29,27",baixada,"-1,65%","-0,49","146.173.452,93","91.598,40","26,87","2,50%",17/11
INDRA,"11,57",baixada,"-0,30%","-0,04","15.836.870,41","2.051,84","16,38","0,00%",17/11
INM. COLONIAL,"7,84",baixada,"-0,15%","-0,01","8.799.472,40","3.074,22","33,49","2,56%",17/11
INMO DEL SUR,"10,68",baixada,"-0,09%","-0,01","24.585,47","181,26","0,00","0,00%",17/11
INYPSA,"0,165",pujada,"+3,13%","0,005","842.641,30","62,95","0,00","0,00%",17/11
LABORATORIOS FARMA,"17,00",pujada,"+0,41%","0,07","55.167,51","865,00","37,93","1,05%",17/11
LAR ESPANA,"8,19",baixada,"-0,17%","-0,01","539.137,48","758,41","30,62","4,77%",17/11
LIBERBANK,"0,44",pujada,"+1,16%","0,01","1.441.463,26","400,24","0,00","0,00%",17/11
LINGOTES,"15,85",pujada,"+2,01%","0,32","135.305,01","158,50","0,00","0,00%",17/11
LOGISTA,"19,80",pujada,"+0,00%","0,00","3.128.544,75","2.618,49","15,13","5,14%",17/11
MAPFRE,"2,76",baixada,"-0,18%","-0,01","17.476.396,78","8.558,08","12,90","5,33%",17/11
MEDIASET,"8,960",pujada,"+0,41%","0,037","7.286.387,09","3.028,77","14,85","6,43%",17/11
MELIA HOTELS INTL,"10,93",baixada,"-0,36%","-0,04","11.353.550,18","2.511,77","21,59","1,22%",17/11
MERLIN PROP.,"11,17",baixada,"-0,40%","-0,05","15.002.617,38","5.256,73","18,85","4,21%",17/11
MIQUEL Y COSTAS,"33,00",pujada,"+0,91%","0,30","415.132,48","686,41","18,01","1,66%",17/11
MONTEBALITO,"2,310",pujada,"+1,32%","0,030","19.090,04","65,85","0,00","0,00%",17/11
NATRA,"0,42",pujada,"+3,75%","0,02","21.455,11","19,23","2,11","0,00%",17/11
NATURHOUSE HEALTH,"4,10",pujada,"+1,71%","0,07","33.398,42","243,42","11,36","9,29%",17/11
NH HOTELES,"5,000",baixada,"-0,50%","-0,025","2.595.959,44","1.760,12","39,52","1,02%",17/11
NICOLAS CORREA,"2,80",pujada,"+0,72%","0,02","74.568,02","34,42","0,00","0,00%",17/11
OHL,"5,23",pujada,"+1,20%","0,06","7.942.732,39","1.559,52","16,96","0,94%",17/11
ORYZON GENOMICS,"1,95",baixada,"-2,70%","-0,05","127.476,94","66,27","0,00","0,00%",17/11
PARQUES REUNIDOS,"13,25",baixada,"-0,38%","-0,05","337.477,76","1.070,64","20,01","1,84%",17/11
PHARMA MAR R,"2,44",pujada,"+0,83%","0,02","1.238.888,63","541,04","0,00","0,00%",17/11
POPULAR,"0,32",baixada,"-6,21%","-0,02","80.937.179,78","1.305,22","0,00","0,00%",8/06
PRIM,"10,25",pujada,"+0,00%","0,00","16.365,32","178,50","14,24","2,66%",17/11
PROSEGUR,"6,69",baixada,"-0,74%","-0,05","1.058.259,94","4.110,05","25,37","1,69%",17/11
QUABIT INMOBIL.,"1,58",pujada,"+1,74%","0,03","41.981,88","122,10","0,00","0,00%",17/11
REALIA BUSINESS,"1,07",pujada,"+0,94%","0,01","47.402,12","683,50","43,19","0,00%",17/11
REE,"18,12",baixada,"-0,44%","-0,08","27.707.605,80","9.780,02","14,71","5,04%",17/11
RENTA 4 SERVICIOS,"6,00",baixada,"-0,50%","-0,03","10.089,80","243,75","19,61","1,54%",17/11
RENTA CORPORACION,"2,800",baixada,"-0,71%","-0,020","32.249,51","92,09","14,00","6,07%",17/11
REPSOL,"14,91",pujada,"+0,17%","0,03","91.247.291,33","22.857,48","10,97","5,05%",17/11
RIOJANAS,"5,44",baixada,"-3,31%","-0,18","26,30","27,62","0,00","0,00%",17/11
