Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,97",baixada,"-0,20%","-0,01","10.702,79","46,10","0,00","0,00%",17:38
ABENGOA,"0,03",baixada,"-2,86%","-0,00","931.975,70","54,03","0,00","0,00%",17:38
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","1.573.640,45","206,39","0,00","0,00%",17:38
ABERTIS,"18,50",pujada,"+0,27%","0,05","41.069.053,45","18.302,25","19,35","4,15%",17:38
ACCIONA,"68,38",baixada,"-0,35%","-0,24","8.895.610,70","3.921,71","16,36","4,26%",17:38
ACERINOX,"11,98",baixada,"-0,46%","-0,06","14.998.062,23","3.301,77","16,22","3,73%",17:38
ACS,"33,80",baixada,"-1,57%","-0,54","14.969.714,50","10.634,09","14,12","3,52%",17:38
ADVEO,"2,71",baixada,"-0,73%","-0,02","15.113,40","58,06","16,98","0,00%",17:38
AENA,"159,60",baixada,"-0,65%","-1,05","16.833.588,60","23.992,50","19,91","2,55%",17:38
AIRBUS,"86,45",baixada,"-0,75%","-0,65","123.228,45","66.720,37","26,58","1,62%",17:38
ALANTRA,"12,35",baixada,"-0,16%","-0,02","54.934,69","438,88","11,54","7,61%",17:38
ALBA,"49,58",baixada,"-0,84%","-0,42","669.575,49","2.898,09","7,13","2,00%",17:38
ALMIRALL,"8,66",baixada,"-0,46%","-0,04","6.107.067,86","1.497,76","0,00","2,34%",17:38
AMADEUS,"60,45",pujada,"+0,42%","0,25","55.661.237,75","26.500,49","25,34","1,79%",17:38
AMPER,"0,20",baixada,"-1,01%","-0,00","362.040,45","164,91","0,00","0,00%",17:38
APERAM,"47,11",baixada,"-3,22%","-1,52","4.963,37","3.958,48","0,00","0,00%",17:38
APPLUS SERVICES,"11,27",baixada,"-0,22%","-0,03","2.489.326,91","1.752,89","18,19","1,11%",17:38
ARCELORMITTAL,"25,38",baixada,"-0,10%","-0,03","8.205.603,66","25.879,71","0,00","0,00%",17:38
AXIA REAL ESTATE,"16,08",baixada,"-0,89%","-0,15","1.432.647,01","1.273,70","44,71","1,76%",17:38
AZKOYEN,"8,15",pujada,"+0,06%","0,01","66.385,33","205,40","17,91","0,00%",17:38
Atresmedia,"8,52",pujada,"+0,12%","0,01","3.529.059,29","1.908,69","13,11","6,34%",17:38
BANKIA,"3,95",baixada,"-0,65%","-0,03","24.001.934,22","11.402,16","13,82","3,19%",17:38
BANKINTER,"7,69",baixada,"-0,86%","-0,07","16.915.884,54","6.914,08","14,69","3,34%",17:38
BARON DE LEY,"112,00",baixada,"-0,89%","-1,00","19.446,10","463,49","20,72","0,00%",17:38
BAYER,"114,00",pujada,"+1,32%","1,50","57.846,05","95.512,47","0,00","0,00%",17:38
BBVA,"7,21",baixada,"-0,69%","-0,05","108.768.054,55","48.248,83","11,55","3,55%",17:38
BIOSEARCH,"0,50",baixada,"-1,96%","-0,01","14.469,04","28,85","0,00","0,00%",17:38
BME,"28,860",baixada,"-1,94%","-0,570","5.189.026,91","2.413,56","15,42","6,24%",17:38
CAIXABANK,"3,96",baixada,"-0,13%","-0,01","51.683.868,77","23.824,07","13,13","3,55%",17:38
CELLNEX TELECOM,"21,25",baixada,"-0,54%","-0,12","9.737.810,16","4.918,64","71,83","0,47%",17:38
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"25,99",pujada,"+0,93%","0,24","6.891.230,08","3.343,68","15,19","2,03%",17:38
CLEOP,"1,15",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",17:38
CLINICA BAVIERA,"8,33",pujada,"+0,00%","0,00","9.962,68","135,84","23,00","2,38%",17:38
CODERE,"0,36",baixada,"-2,70%","-0,01","103.493,16","917,49","0,00","0,00%",17:38
COEMAC,"0,43",pujada,"+0,00%","0,00","43.362,03","84,92","59,43","0,00%",17:38
DEOLEO SA,"0,18",pujada,"+0,00%","0,00","272.285,23","207,84","15,65","0,00%",17:38
DIA,"4,15",pujada,"+1,84%","0,08","34.393.562,54","2.578,21","10,73","4,91%",17:38
DOGI INTL FABRICS,"3,63",pujada,"+0,17%","0,01","36.284,19","262,10","0,00","0,00%",17:38
DURO FELGUERA,"0,54",pujada,"+0,00%","0,00","72.024,36","86,40","55,00","0,00%",17:38
EBRO FOODS,"20,28",baixada,"-0,64%","-0,13","1.597.043,21","3.122,70","17,51","3,06%",17:38
EDREAMS ODIGEO REG,"3,47",pujada,"+1,46%","0,05","2.810.549,34","375,61","11,59","0,00%",17:38
ELECNOR,"12,50",pujada,"+0,00%","0,00","199.986,30","1.083,15","11,28","2,33%",17:38
ENAGAS,"24,20",pujada,"+0,12%","0,03","23.649.449,26","5.771,40","12,29","6,02%",17:38
ENCE,"5,530",pujada,"+2,41%","0,130","4.769.400,46","1.359,42","15,00","3,05%",17:38
ENDESA,"19,30",baixada,"-0,59%","-0,12","24.909.434,93","20.449,80","15,06","6,80%",17:38
ENEL GREEN POWER,"1,93",pujada,"+0,00%","0,00","86.618,27","9.655,00","23,54","1,59%",1/04
ERCROS,"2,86",pujada,"+2,80%","0,08","1.482.523,52","315,74","7,02","0,00%",17:38
EUROPAC,"8,79",baixada,"-0,23%","-0,02","1.284.604,06","827,30","12,18","3,32%",17:38
EUSKALTEL,"7,15",pujada,"+5,12%","0,35","8.045.081,87","1.271,95","17,08","5,33%",17:38
FAES FARMA,"2,970",baixada,"-1,66%","-0,050","1.032.572,79","753,43","17,84","1,51%",17:38
FCC,"8,98",baixada,"-1,43%","-0,13","374.798,99","3.395,41","17,89","0,00%",17:38
FERGO AISA,"0,017",pujada,"+0,00%","0,000","0,00","13,16","0,00","0,00%",28/01
FERROCARRILES,"35,50",pujada,"+1,72%","0,60","1.251.983,86","1.220,74","27,27","1,67%",17:38
FERROVIAL,"18,35",baixada,"-1,18%","-0,22","18.052.692,18","13.573,88","33,90","3,17%",17:38
FERSA ENERGIAS,"0,49",pujada,"+0,00%","0,00","55.508,44","67,90","91,57","0,00%",17:38
FLUIDRA,"10,93",pujada,"+3,80%","0,40","8.095.789,94","1.237,79","25,39","1,78%",17:38
FUNESPANA,"7,42",pujada,"+0,68%","0,00","0,00","134,85","0,00","0,00%",17:38
GAM,"1,73",pujada,"+6,13%","0,10","377.004,98","58,26","0,00","0,00%",17:38
GAS NATURAL,"18,00",baixada,"-0,58%","-0,11","53.801.064,87","18.017,41","14,17","5,51%",17:38
GESTAMP AUTOM,"5,65",baixada,"-0,09%","-0,01","4.303.980,98","3.222,30","14,25","2,11%",17:38
GLOBAL DOMINION,"4,62",pujada,"+3,41%","0,15","657.693,55","776,30","25,91","0,00%",17:38
GR.EMPRES.SAN JOSE,"3,27",pujada,"+2,51%","0,08","475.002,84","212,64","0,00","0,00%",17:38
GRIFOLS,"26,14",baixada,"-1,00%","-0,27","17.374.412,70","11.158,21","26,74","1,31%",17:38
GRUPO CATALANA OCC,"35,06",pujada,"+0,20%","0,07","1.379.185,36","4.202,40","12,67","2,19%",17:38
GRUPO EZENTIS SA,"0,57",baixada,"-0,35%","-0,00","445.454,83","166,62","25,56","0,00%",17:38
GRUPO PRISA,"2,96",pujada,"+0,31%","0,01","111.907,57","227,17","5,30","0,00%",17:38
GRUPO TAVEX S.A,"0,238",pujada,"+0,00%","0,000","3.352,77","18,56","0,00","0,00%",6/02
HISPANIA ACTIVOS,"14,59",pujada,"+0,38%","0,06","3.787.459,44","1.588,42","20,75","3,58%",17:38
IAG (IBERIA),"6,94",baixada,"-0,90%","-0,06","17.455.138,60","14.824,27","6,94","3,85%",17:38
IBERDROLA,"6,77",baixada,"-1,66%","-0,11","109.310.867,39","42.744,31","16,05","4,81%",17:38
IBERPAPEL GESTION,"27,01",pujada,"+0,07%","0,02","264.585,22","294,69","15,45","2,33%",17:38
INDITEX,"29,96",baixada,"-2,99%","-0,93","133.485.982,32","93.374,89","28,32","2,38%",17:38
INDRA,"11,92",pujada,"+0,08%","0,01","9.324.863,50","2.105,72","17,71","0,00%",17:38
INM. COLONIAL,"7,92",baixada,"-0,60%","-0,05","6.953.542,97","3.127,99","34,77","2,46%",17:38
INMO DEL SUR,"10,50",pujada,"+0,00%","0,00","6.021,20","178,37","0,00","0,00%",17:38
INYPSA,"0,170",baixada,"-2,86%","-0,005","653.738,76","62,95","0,00","0,00%",17:38
LABORATORIOS FARMA,"16,19",baixada,"-0,86%","-0,14","10.234,91","816,50","39,51","1,08%",17:38
LAR ESPANA,"8,20",pujada,"+0,31%","0,03","725.176,39","755,81","29,46","4,88%",17:38
LIBERBANK,"0,43",pujada,"+0,23%","0,00","2.890.406,57","405,82","0,00","0,00%",17:38
LINGOTES,"15,20",baixada,"-0,03%","-0,01","165.265,14","151,80","0,00","0,00%",17:38
LOGISTA,"20,40",pujada,"+1,12%","0,23","3.743.615,82","2.715,40","14,78","5,06%",17:38
MEDIASET,"8,794",baixada,"-1,49%","-0,133","6.477.449,40","2.980,96","15,35","6,18%",17:38
MELIA HOTELS INTL,"11,35",baixada,"-2,11%","-0,25","12.882.569,24","2.620,88","22,05","1,24%",17:38
MERLIN PROP.,"10,95",baixada,"-0,50%","-0,06","12.089.097,36","5.143,99","19,12","4,15%",17:38
MIQUEL Y COSTAS,"32,49",pujada,"+2,82%","0,89","723.106,24","665,96","18,25","1,51%",17:38
NATRA,"0,45",pujada,"+4,65%","0,02","56.408,64","20,42","2,11","0,00%",17:38
NATURHOUSE HEALTH,"4,17",pujada,"+0,29%","0,01","66.425,02","249,18","11,61","9,09%",17:38
NEINOR HOMES,"17,40",baixada,"-2,74%","-0,49","2.390.296,38","1.378,24","0,00","0,00%",17:38
NH HOTELES,"5,185",baixada,"-6,49%","-0,360","8.088.725,33","1.835,42","44,41","0,91%",17:38
NICOLAS CORREA,"2,83",pujada,"+1,25%","0,04","64.924,63","34,49","0,00","0,00%",17:38
NYESA VALORES CORP,"0,17",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",17:38
OHL,"5,20",pujada,"+1,76%","0,09","18.444.678,44","1.527,26","17,05","1,02%",17:38
ORYZON GENOMICS,"2,20",baixada,"-2,18%","-0,05","130.321,05","75,16","0,00","0,00%",17:38
PARQUES REUNIDOS,"13,80",baixada,"-1,43%","-0,20","164.896,82","1.119,08","20,65","1,78%",17:38
PESCANOVA,"1,33",baixada,"-1,04%","-0,01","573.156,85","38,22","2,32","8,69%",17:38
PHARMA MAR R,"3,31",baixada,"-1,05%","-0,04","2.676.304,94","728,06","0,00","0,00%",17:38
POPULAR,"0,32",baixada,"-6,21%","-0,02","80.937.179,78","1.305,22","0,00","0,00%",8/06
PRIM,"10,12",baixada,"-4,85%","-0,51","8.708,42","176,94","14,24","2,66%",17:38
PROSEGUR,"6,77",baixada,"-0,44%","-0,03","2.728.239,35","4.202,62","24,26","1,69%",17:38
QUABIT INMOBIL.,"1,60",baixada,"-0,62%","-0,01","102.636,09","125,35","0,00","0,00%",17:38
REALIA BUSINESS,"1,10",baixada,"-1,35%","-0,02","58.395,80","709,29","45,00","0,00%",17:38
REE,"18,17",baixada,"-0,25%","-0,05","30.779.558,61","9.820,60","14,72","5,04%",17:38
