Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
A DOMINGUEZ,"4,98",pujada,"+0,00%","0,00","9.590,13","46,20","0,00","0,00%",17:38
ABENGOA,"0,04",baixada,"-2,78%","-0,00","1.282.396,07","57,31","0,00","0,00%",17:38
ABENGOA CL.B,"0,01",pujada,"+0,00%","0,00","427.765,42","223,58","0,00","0,00%",17:38
ABERTIS,"18,45",baixada,"-0,38%","-0,07","38.168.978,63","18.302,25","19,35","4,15%",17:38
ACCIONA,"68,62",baixada,"-0,15%","-0,10","7.015.681,87","3.928,01","16,36","4,26%",17:38
ACERINOX,"12,04",baixada,"-0,21%","-0,03","12.769.940,81","3.334,90","16,22","3,73%",17:38
ACS,"34,34",pujada,"+0,44%","0,15","12.021.658,86","10.811,88","14,12","3,52%",17:38
ADVEO,"2,73",baixada,"-0,36%","-0,01","58.663,02","57,63","16,98","0,00%",17:38
AENA,"160,65",pujada,"+0,47%","0,75","23.768.693,80","24.210,00","19,91","2,55%",17:38
AIRBUS,"87,05",baixada,"-0,34%","-0,30","164.803,75","67.146,33","26,58","1,62%",17:38
ALANTRA,"12,37",pujada,"+1,39%","0,17","155.105,49","438,88","11,54","7,61%",17:38
ALBA,"50,00",pujada,"+0,14%","0,07","418.265,76","2.912,09","7,13","2,00%",17:38
ALMIRALL,"8,70",pujada,"+7,01%","0,57","13.014.413,19","1.516,78","0,00","2,34%",17:38
AMADEUS,"60,20",pujada,"+2,40%","1,41","59.375.260,70","26.346,90","25,34","1,79%",17:38
AMPER,"0,20",baixada,"-0,50%","-0,00","320.174,90","165,74","0,00","0,00%",17:38
APERAM,"47,11",baixada,"-1,22%","-0,58","465,30","3.978,14","0,00","0,00%",17:38
APPLUS SERVICES,"11,30",pujada,"+0,18%","0,02","1.526.420,92","1.761,47","18,19","1,11%",17:38
ARCELORMITTAL,"25,41",baixada,"-0,41%","-0,11","10.148.891,36","26.099,42","0,00","0,00%",17:38
AXIA REAL ESTATE,"16,22",pujada,"+0,93%","0,15","3.260.388,96","1.285,56","44,71","1,76%",17:38
AZKOYEN,"8,15",baixada,"-1,94%","-0,16","64.570,14","205,27","17,91","0,00%",17:38
Atresmedia,"8,51",baixada,"-0,12%","-0,01","2.690.488,70","1.919,92","13,11","6,34%",17:38
BANKIA,"3,97",baixada,"-0,82%","-0,03","23.278.817,77","11.410,79","13,82","3,19%",17:38
BANKINTER,"7,76",baixada,"-0,36%","-0,03","14.516.813,27","6.945,54","14,69","3,34%",17:38
BARON DE LEY,"112,00",baixada,"-1,79%","-2,00","33.594,15","457,25","20,72","0,00%",17:38
BAYER,"114,00",pujada,"+2,54%","2,90","46.526,70","96.876,94","0,00","0,00%",17:38
BBVA,"7,26",baixada,"-0,94%","-0,07","110.375.372,67","48.375,52","11,55","3,55%",17:38
BIOSEARCH,"0,51",baixada,"-0,97%","-0,01","18.806,35","29,43","0,00","0,00%",17:38
BME,"29,430",pujada,"+2,08%","0,600","5.587.438,77","2.463,73","15,42","6,24%",17:38
CAIXABANK,"3,97",baixada,"-0,18%","-0,01","50.231.758,76","23.710,42","13,13","3,55%",17:38
CELLNEX TELECOM,"21,37",pujada,"+0,83%","0,18","7.824.098,51","4.936,01","71,83","0,47%",17:38
CEMENTOS PORTLAND,"5,97",pujada,"+0,00%","0,00","0,00","305,54","0,00","0,00%",23/02
CIE AUTOMOTIVE,"25,75",pujada,"+0,90%","0,23","2.178.601,87","3.317,24","15,19","2,03%",17:38
CLEOP,"1,15",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",17:38
CLINICA BAVIERA,"8,33",baixada,"-1,56%","-0,13","3.293,00","133,72","23,00","2,38%",17:38
CODERE,"0,37",pujada,"+2,78%","0,01","569.711,32","917,49","0,00","0,00%",17:38
COEMAC,"0,43",baixada,"-2,30%","-0,01","62.303,65","86,90","59,43","0,00%",17:38
DEOLEO SA,"0,18",pujada,"+0,00%","0,00","62.988,52","213,62","15,65","0,00%",17:38
DIA,"4,07",baixada,"-0,15%","-0,01","14.190.224,85","2.533,40","10,73","4,91%",17:38
DOGI INTL FABRICS,"3,62",pujada,"+1,49%","0,05","98.599,02","254,90","0,00","0,00%",17:38
DURO FELGUERA,"0,54",baixada,"-1,82%","-0,01","91.391,16","86,40","55,00","0,00%",17:38
EBRO FOODS,"20,41",pujada,"+0,02%","0,01","2.111.352,05","3.135,78","17,51","3,06%",17:38
EDREAMS ODIGEO REG,"3,42",pujada,"+0,03%","0,00","2.337.769,38","365,24","11,59","0,00%",17:38
ELECNOR,"12,50",pujada,"+4,08%","0,49","235.107,19","1.080,54","11,28","2,33%",17:38
ENAGAS,"24,17",baixada,"-0,29%","-0,07","12.369.545,82","5.757,08","12,29","6,02%",17:38
ENCE,"5,400",pujada,"+2,86%","0,150","6.737.501,03","1.323,71","15,00","3,05%",17:38
ENDESA,"19,41",baixada,"-0,23%","-0,05","22.698.959,09","20.560,97","15,06","6,80%",17:38
ENEL GREEN POWER,"1,93",pujada,"+0,00%","0,00","86.618,27","9.655,00","23,54","1,59%",1/04
ERCROS,"2,78",pujada,"+1,57%","0,04","528.407,85","310,74","7,02","0,00%",17:38
EUROPAC,"8,81",baixada,"-1,07%","-0,10","1.591.756,87","836,84","12,18","3,32%",17:38
EUSKALTEL,"6,80",pujada,"+0,79%","0,05","4.254.988,53","1.219,61","17,08","5,33%",17:38
FAES FARMA,"3,020",pujada,"+5,78%","0,165","2.455.683,57","768,72","17,84","1,51%",17:38
FCC,"9,11",pujada,"+2,16%","0,19","299.118,98","3.438,98","17,89","0,00%",17:38
FERGO AISA,"0,017",pujada,"+0,00%","0,000","0,00","13,16","0,00","0,00%",28/01
FERROCARRILES,"34,90",pujada,"+0,46%","0,16","1.639.855,29","1.199,83","27,27","1,67%",17:38
FERROVIAL,"18,57",pujada,"+0,38%","0,07","15.948.469,03","13.729,18","33,90","3,17%",17:38
FERSA ENERGIAS,"0,49",baixada,"-2,97%","-0,02","50.626,98","68,60","91,57","0,00%",17:38
FLUIDRA,"10,53",pujada,"+18,71%","1,66","11.933.780,90","1.176,97","25,39","1,78%",17:38
FUNESPANA,"7,42",pujada,"+0,68%","0,00","0,00","134,85","0,00","0,00%",17:38
GAM,"1,63",pujada,"+4,49%","0,07","101.916,94","53,93","0,00","0,00%",17:38
GAMESA,"11,97",pujada,"+0,21%","0,03","28.818.479,95","8.051,11","14,34","1,34%",17:38
GAS NATURAL,"18,11",baixada,"-0,19%","-0,04","21.964.463,76","18.102,47","14,17","5,51%",17:38
GESTAMP AUTOM,"5,66",baixada,"-0,79%","-0,05","2.222.747,57","3.244,75","14,25","2,11%",17:38
GLOBAL DOMINION,"4,46",pujada,"+1,36%","0,06","354.368,27","754,26","25,91","0,00%",17:38
GR.EMPRES.SAN JOSE,"3,19",pujada,"+1,27%","0,04","205.204,50","203,53","0,00","0,00%",17:38
GRIFOLS,"26,40",baixada,"-1,22%","-0,33","16.128.284,94","11.330,79","26,74","1,31%",17:38
GRUPO CATALANA OCC,"34,99",baixada,"-0,65%","-0,23","693.898,33","4.191,60","12,67","2,19%",17:38
GRUPO EZENTIS SA,"0,57",pujada,"+1,78%","0,01","339.552,08","167,80","25,56","0,00%",17:38
GRUPO PRISA,"2,95",pujada,"+2,08%","0,06","107.409,40","230,86","5,30","0,00%",17:38
GRUPO TAVEX S.A,"0,238",pujada,"+0,00%","0,000","3.352,77","18,56","0,00","0,00%",6/02
HISPANIA ACTIVOS,"14,53",baixada,"-1,39%","-0,21","2.682.298,17","1.593,33","20,75","3,58%",17:38
IAG (IBERIA),"7,01",baixada,"-0,06%","-0,00","15.214.343,51","14.941,59","6,94","3,85%",17:38
IBERDROLA,"6,88",pujada,"+0,29%","0,02","70.713.311,65","43.527,68","16,05","4,81%",17:38
IBERPAPEL GESTION,"26,99",baixada,"-1,14%","-0,31","156.358,02","294,03","15,45","2,33%",17:38
INDITEX,"30,89",baixada,"-0,85%","-0,27","49.340.388,73","96.382,46","28,32","2,38%",17:38
INDRA,"11,91",baixada,"-1,16%","-0,14","6.661.064,66","2.093,35","17,71","0,00%",17:38
INM. COLONIAL,"7,97",baixada,"-0,30%","-0,02","6.495.031,55","3.131,91","34,77","2,46%",17:38
INMO DEL SUR,"10,50",pujada,"+0,00%","0,00","6.021,20","178,20","0,00","0,00%",17:38
INYPSA,"0,175",pujada,"+2,94%","0,005","715.224,98","64,80","0,00","0,00%",17:38
LABORATORIOS FARMA,"16,33",pujada,"+0,93%","0,15","16.459,01","805,50","39,51","1,08%",17:38
LAR ESPANA,"8,18",baixada,"-0,26%","-0,02","1.106.315,83","758,87","29,46","4,88%",17:38
LIBERBANK,"0,43",baixada,"-1,14%","-0,01","2.776.763,27","410,47","0,00","0,00%",17:38
LINGOTES,"15,21",baixada,"-1,46%","-0,23","105.736,16","154,40","0,00","0,00%",17:38
LOGISTA,"20,18",pujada,"+0,62%","0,13","2.174.706,24","2.662,97","14,78","5,06%",17:38
MEDIASET,"8,927",pujada,"+0,26%","0,023","6.961.648,80","3.008,23","15,35","6,18%",17:38
MELIA HOTELS INTL,"11,60",pujada,"+0,69%","0,08","5.078.901,71","2.650,74","22,05","1,24%",17:38
MERLIN PROP.,"11,00",baixada,"-0,81%","-0,09","10.087.138,85","5.174,52","19,12","4,15%",17:38
MIQUEL Y COSTAS,"31,60",pujada,"+0,22%","0,07","279.474,82","654,61","18,25","1,51%",17:38
NATRA,"0,43",baixada,"-3,37%","-0,02","4.531,68","20,42","2,11","0,00%",17:38
NATURHOUSE HEALTH,"4,15",baixada,"-0,65%","-0,03","98.272,11","249,66","11,61","9,09%",17:38
NEINOR HOMES,"17,89",baixada,"-0,42%","-0,08","2.249.458,37","1.412,61","0,00","0,00%",17:38
NH HOTELES,"5,545",pujada,"+0,45%","0,025","1.532.357,34","1.940,51","44,41","0,91%",17:38
NICOLAS CORREA,"2,80",pujada,"+1,64%","0,05","34.305,95","34,42","0,00","0,00%",17:38
NYESA VALORES CORP,"0,17",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",17:38
OHL,"5,11",pujada,"+3,90%","0,19","12.749.118,52","1.509,93","17,05","1,02%",17:38
ORYZON GENOMICS,"2,25",baixada,"-2,22%","-0,05","147.510,56","76,93","0,00","0,00%",17:38
PARQUES REUNIDOS,"14,00",baixada,"-0,32%","-0,05","309.794,33","1.125,95","20,65","1,78%",17:38
PESCANOVA,"1,34",pujada,"+0,75%","0,01","1.398.731,80","38,77","2,32","8,69%",17:38
PHARMA MAR R,"3,34",pujada,"+5,70%","0,18","2.270.003,86","731,40","0,00","0,00%",17:38
POPULAR,"0,32",baixada,"-6,21%","-0,02","80.937.179,78","1.305,22","0,00","0,00%",8/06
PRIM,"10,51",pujada,"+0,68%","0,07","20.419,12","182,32","14,24","2,66%",17:38
PROSEGUR,"6,80",pujada,"+3,82%","0,25","3.674.046,90","4.165,59","24,26","1,69%",17:38
QUABIT INMOBIL.,"1,61",baixada,"-1,65%","-0,03","75.921,47","124,42","0,00","0,00%",17:38
REALIA BUSINESS,"1,12",pujada,"+0,00%","0,00","94.435,24","715,74","45,00","0,00%",17:38
REE,"18,21",baixada,"-0,25%","-0,05","12.376.244,02","9.853,07","14,72","5,04%",17:38
RENO DE MEDICI,"0,655",pujada,"+4,30%","0,027","80.586,14","245,40","12,19","0,00%",17:38
RENTA 4 SERVICIOS,"5,93",baixada,"-0,17%","-0,01","14.570,23","240,09","19,61","1,54%",17:38
RENTA CORPORACION,"2,820",pujada,"+4,60%","0,125","454.761,03","92,09","13,60","6,25%",17:38
REPSOL,"15,83",baixada,"-0,53%","-0,09","83.790.571,08","24.209,23","11,17","5,03%",17:38
REYAL URBIS,"0,12",pujada,"+0,00%","0,00","0,00","0,00","0,00","0,00%",17:38
RIOJANAS,"5,15",baixada,"-2,28%","-0,12","12.849,97","27,05","0,00","0,00%",17:38
Reig Jofre,"2,60",pujada,"+0,81%","0,02","31.561,89","166,80","23,74","1,26%",17:38
SABADELL,"1,67",baixada,"-1,13%","-0,02","22.405.924,43","9.413,91","12,05","3,56%",17:38
SACYR,"2,21",pujada,"+0,27%","0,01","4.285.780,06","1.177,11","6,48","0,00%",17:38
SAETA YIELD,"9,60",baixada,"-0,78%","-0,08","534.892,39","784,44","17,77","7,86%",17:38
SANTANDER,"5,64",baixada,"-1,23%","-0,07","161.621.857,70","90.661,32","12,42","3,75%",17:38
SEDA BARCELONA,"0,73",pujada,"+0,00%","0,00","0,00","26,44","0,00","0,00%",13/11
SNIACE,"0,19",baixada,"-4,48%","-0,01","1.493.787,29","68,79","0,00","0,00%",17:38
SOLARIA ENERGIA,"1,45",pujada,"+1,75%","0,03","240.202,39","158,93","23,89","0,00%",17:38
SOTOGRANDE,"3,08",pujada,"+0,00%","0,00","0,00","136,53","0,00","0,00%",17:38
SPS,"0,93",baixada,"-2,72%","-0,03","11.030,51","51,55","0,00","0,00%",17:38
TALGO,"4,35",baixada,"-0,57%","-0,03","976.319,85","593,36","10,92","1,67%",17:38
TECNICAS REUNIDAS,"28,14",pujada,"+1,41%","0,39","12.599.615,08","1.565,09","11,23","5,03%",17:38
TECNOCOM TEL ENERG,"4,75",pujada,"+0,00%","0,00","0,00","393,94","27,94","1,81%",19/05
TELEFONICA,"8,83",baixada,"-0,66%","-0,06","86.758.451,57","44.423,36","12,35","4,50%",17:38
TELEPIZZA GROUP,"4,91",baixada,"-0,30%","-0,02","161.767,38","491,72","14,92","0,51%",17:38
TUBACEX,"3,16",pujada,"+0,96%","0,03","569.232,84","418,88","86,49","0,32%",17:38
TUBOS REUNIDOS,"0,89",baixada,"-1,11%","-0,01","65.141,18","154,59","0,00","0,00%",17:38
URBAS,"0,02",pujada,"+0,00%","0,00","0,00","45,64","0,00","0,00%",17:38
VERTICE TRESCIENTO,"0,044",pujada,"+0,00%","0,000","0,00","0,00","16,26","0,00%",17:38
VIDRALA,"82,60",pujada,"+3,56%","2,85","1.349.095,45","2.033,14","22,70","1,06%",17:38
VISCOFAN,"51,26",baixada,"-0,39%","-0,20","2.755.430,44","2.388,44","19,24","2,84%",17:38
VOCENTO,"1,46",baixada,"-2,69%","-0,04","36.369,56","182,46","19,53","0,00%",17:38
ZARDOYA OTIS,"9,41",baixada,"-0,21%","-0,02","1.241.690,00","4.412,96","28,58","3,39%",17:38
