Nom,Preu,Estat,Var. per cent,Var. en euros,Volum en euros,Capitalizacio (milions euros),Per,Rent./Div,Hora
ACERINOX,"11,93",baixada,"-1,93%","-0,24","18.712.803,70","3.283,82","16,39","3,63%",27/10
ACS,"32,79",baixada,"-0,82%","-0,27","18.854.968,42","10.258,07","13,50","3,60%",27/10
DIA,"4,05",baixada,"-2,36%","-0,10","31.412.105,82","2.511,61","10,85","4,75%",27/10
FERROVIAL,"18,20",baixada,"-0,68%","-0,13","33.218.668,64","13.337,24","33,90","3,17%",27/10
GAMESA,"11,28",baixada,"-0,13%","-0,02","27.535.344,39","7.669,67","11,74","1,42%",27/10
INDITEX,"31,26",baixada,"-0,70%","-0,22","84.796.399,05","97.753,79","28,17","2,39%",27/10
REPSOL,"15,55",pujada,"+0,52%","0,08","61.776.765,31","23.697,55","10,92","5,23%",27/10
SANTANDER,"5,70",baixada,"-1,98%","-0,12","338.689.598,44","91.575,63","11,95","3,93%",27/10
TECNICAS REUNIDAS,"26,50",baixada,"-0,79%","-0,21","14.088.680,63","1.462,80","10,50","5,47%",27/10
TELEFONICA,"8,69",baixada,"-1,22%","-0,11","166.600.741,25","43.995,15","12,31","4,51%",27/10
